,ACYFS1,ACYFS2,ACYFS3,ACYFS4,ACYFS5,ACYMS1,ACYMS2,ACYMS3,ACYMS4,ACYMS5,APLFS1,APLFS2,APLFS3,APLFS4,APLFS5,APLMS1,APLMS2,APLMS3,APLMS4,APLMS5,MGAFS1,MGAFS2,MGAMS1,MGAMS2,MGAMS3,MGASMS1,PCOFS1,PCOFS2,PCOFS3,PCOFS4,PCOFS5,PCOMS1,PCOMS2,PCOMS3,PCOMS4,PCOMS5,PCOMS6,NMEFS1,NMEFS2,NMEFS3,NMEFS4,NMEFS5,NMEMS1,NMEMS2,NMEMS3,NMEMS4,NMEMS5,PCRFS1,PCRFS2,PCRFS3,PCRFS4,PCRFS5,PCRMS1,PCRMS2,PCRMS3,PCRMS4,PCRMS5,GALF1S,GALF3S,GALF4S,GALF5S,GALM1S,GALM2S,GALM3S,GALM4S,GALM5S
OG0002352,4.400914,4.377284,4.693093,4.336419,4.960836,3.734921,4.640698,4.535609,4.192676,4.357696,5.294186,5.212229,4.968327,5.376753,5.110203,4.915363,5.289968,5.626356,5.149755,5.392161,1.613139,2.229422,1.100577,2.926013,3.000473,2.535369,4.109268,4.42104,3.789383,3.512357,3.588301,3.550214,3.939276,3.725016,3.853812,4.025347,4.364266,3.683916,4.004818,4.274937,4.082374,3.718946,3.966614,4.025666,3.220022,3.95135,3.815786,3.798519,3.773644,4.089364,3.908838,4.027751,3.630918,3.678147,3.282863,3.356857,3.354047,3.426428,2.3961,2.089893,-0.4851207,2.988145,2.856725,1.926618,3.39506,1.308942
OG0002353,3.543652,3.225679,3.687208,3.854498,3.726748,3.775646,3.264074,3.581556,3.754557,3.148796,3.37304,2.973698,2.92768,3.928143,4.266813,3.438008,3.335384,3.098494,4.467334,2.796733,4.582578,4.401308,4.576716,4.597734,4.758617,4.927014,4.533969,5.242046,4.715675,4.450542,5.180375,4.713517,5.403467,5.263435,4.935359,5.0379,5.478537,5.310214,5.565444,5.005302,5.46129,5.534054,5.469939,5.745394,5.183119,5.289883,5.278663,6.157761,6.640733,6.153917,6.177806,6.735043,6.138023,6.627336,6.558535,6.411972,6.404807,5.427387,5.699806,6.019027,5.811158,5.824721,5.31528,5.510643,5.417461,5.794273
OG0002354,4.909169,4.831394,4.858412,4.830088,4.846468,4.987199,5.071983,4.814596,4.785904,4.689377,4.917534,4.624658,4.925018,4.628867,4.535136,4.69306,4.718413,4.642873,4.934312,4.903153,3.315103,4.49663,3.094601,4.009249,3.879849,3.880572,4.596799,2.665602,4.482059,4.901281,3.482765,3.98983,3.109383,3.938578,4.109133,3.967752,4.540294,5.17431,5.133559,4.963953,5.243442,5.322503,5.250073,5.078131,5.036239,5.120149,5.185743,5.688258,6.103401,5.879806,5.636658,5.756054,5.809669,6.076364,5.840321,5.936535,5.805205,2.715479,2.681442,2.434041,1.577492,3.367033,3.01482,2.03622,3.22078,2.236475
OG0002355,6.177138,6.387978,6.220984,6.22656,6.481563,6.290575,6.293789,6.230108,6.138201,6.586372,7.239804,7.028441,7.065106,6.833885,6.861016,7.130435,6.986006,6.812115,6.719198,6.912144,6.462198,6.681982,6.249341,6.394579,6.48765,6.300774,6.390195,5.134602,5.880276,6.299182,6.078313,5.602427,5.547146,5.520756,5.878552,5.566416,5.645676,6.834135,7.04949,6.950818,6.935096,7.145873,6.895847,6.853263,6.821674,6.787257,7.135855,7.116885,7.264044,6.959539,6.792935,6.851441,6.941243,6.984462,7.198862,6.956869,7.032186,6.842275,7.175503,6.871421,6.727465,7.087283,7.144682,6.847398,7.038213,6.737836
OG0002356,6.157313,5.893759,5.968267,5.926465,6.109507,6.190119,5.718249,5.755297,6.036974,5.777033,6.525879,6.430332,6.506336,6.147093,6.283245,5.943008,6.115827,6.361046,6.051139,6.033485,6.674497,6.150818,6.527941,6.203982,6.552705,6.694033,5.821128,7.073094,6.225155,6.083646,6.507349,6.366571,6.715256,6.925137,6.092199,6.749849,7.058629,5.53943,6.250087,5.944876,6.091861,6.029976,5.93247,6.099831,5.912721,5.973896,5.817048,6.407825,5.730225,5.482291,5.796622,6.091609,6.058969,5.475715,5.68694,5.521681,5.829409,8.789611,7.782539,8.092201,8.207422,7.487201,7.231207,7.975605,7.588222,8.21337
OG0002358,6.247013,6.4768,6.431009,6.388051,6.561547,6.245848,6.477957,6.251741,6.264091,6.824861,6.061202,6.174789,6.084993,6.179609,6.217595,6.582352,6.193764,6.004476,5.750289,5.980203,6.837739,6.911866,6.705723,6.960216,7.036493,6.390151,6.657881,6.496196,6.395772,6.518733,6.04754,6.401653,6.390861,6.167951,6.249619,6.198391,6.50304,6.562047,6.567148,6.579545,6.275019,6.71378,6.414464,6.468141,6.352947,6.584514,6.605923,5.983986,5.936533,6.210159,6.406143,6.515464,6.350082,6.223793,6.583675,6.384974,6.424912,4.955405,4.694221,4.66782,3.348029,4.952213,5.129078,4.707935,5.387942,5.36915
OG0002359,4.583719,5.20067,4.872643,4.854933,5.160671,4.909297,4.587415,4.828211,4.848523,5.18897,3.639168,3.633928,4.095073,3.775416,3.908576,3.534775,3.694088,3.6411,3.879962,3.985731,4.049353,3.22758,4.434847,3.701658,4.193126,3.607482,3.649383,4.474401,3.842149,3.732977,3.496263,3.858505,3.6733,3.400251,3.045277,3.912184,3.882335,3.845872,3.330416,3.611213,3.414166,2.867244,3.492207,3.544564,3.531411,3.924203,3.581926,4.269812,4.219801,4.386251,4.329609,4.592551,3.939165,4.153933,3.884009,4.069935,3.954429,4.279978,4.211422,4.277542,4.328834,3.873972,4.03625,4.063833,4.129187,4.101307
OG0002361,5.707086,5.706884,5.903807,5.663497,5.91835,5.962062,5.888591,5.934377,6.312891,6.047372,6.571,6.490283,6.399863,6.144746,6.280664,6.032981,6.31317,6.30353,6.328837,6.345163,2.639512,2.970171,2.380342,2.918363,3.226888,2.83371,4.41129,4.179412,4.301516,4.719156,4.127201,4.265199,4.44797,4.602532,4.572096,4.557564,4.539285,3.828563,4.357848,3.765937,4.507017,3.567145,4.728251,3.972477,4.232311,4.613643,3.846874,5.20704,5.470439,5.257103,5.330972,5.195869,5.012053,5.367261,4.904289,4.902396,5.095256,4.783972,4.579676,4.645661,4.1877,4.612533,4.507141,4.677443,4.476416,4.187934
OG0002362,4.152243,4.146767,3.979204,4.308287,4.220854,4.079458,4.172426,4.154848,4.21364,3.838796,4.811162,5.070458,5.227272,5.138548,4.683733,4.985384,4.991655,4.77781,4.931349,5.377505,3.826129,3.681759,4.188115,3.559831,4.127302,3.743412,4.356443,4.732745,4.904554,4.643171,4.722526,5.175479,5.162781,4.999893,5.107475,5.057319,5.040204,5.04562,4.850968,4.703028,4.616456,4.301703,5.163086,4.903327,5.201548,5.104008,4.974711,5.181096,5.590541,5.170116,5.26778,5.199544,5.228653,5.063798,4.820396,4.647797,4.621648,3.831081,4.038048,4.003159,3.757585,3.116049,3.460804,3.850332,3.962555,3.710386
OG0002363,6.715194,6.938354,6.80556,7.027665,7.157536,6.532502,6.7988,6.554421,6.616756,7.096625,6.877125,6.626553,6.419673,6.749609,6.864009,6.868382,6.871413,6.746785,6.523164,6.615708,7.139844,6.990307,6.824975,6.845048,6.966751,6.904921,6.945629,7.492197,6.661453,6.615323,7.268729,7.325952,7.350558,7.243583,6.945345,7.511694,7.139098,7.185288,7.542641,7.107718,7.4196,7.222731,7.206462,7.661796,7.332718,7.784975,7.839681,6.331228,6.300008,6.27766,6.519015,6.429609,6.311899,5.989777,6.025173,6.124185,6.305563,6.577772,6.77004,6.430045,6.699142,6.541093,6.205911,6.88943,6.486665,6.583888
